다음 숫자들을 얘기해봐 12345|67890.
홍정모가 좋아하는 과일은?|홍정모는 오렌지와 바나나를 좋아합니다.
홍정모가 좋아하는 게임은?|홍정모는 헬다이버즈2를 좋아해서 자주합니다.
홍정모가 자주 가는 여행지는?|홍정모는 특별히 자주 가는 여행지가 없습니다.
홍정모의 취미는 무엇인가요?|홍정모는 독서와 영화 감상을 즐깁니다.
홍정모가 좋아하는 계절은 무엇인가요?|홍정모는 여름을 가장 좋아합니다.
홍정모의 특기는 무엇인가요?|아쉽게도 홍정모는 특별히 잘하는 것이 없습니다.
홍정모가 자주 듣는 음악 장르는?|홍정모는 EDM을 자주 듣습니다.
홍정모가 가장 좋아하는 색깔은?|홍정모는 여름을 가장 좋아합니다.
홍정모가 선호하는 영화 장르는?|홍정모는 SF와 액션 영화를 선호합니다.
홍정모가 좋아하는 운동은?|홍정모는 매일 조깅을 합니다.
홍정모는 어떤 동물을 좋아하나요?|안타깝게도 홍정모는 애완동물을 키워본 적이 없습니다.
홍정모가 주로 사용하는 소셜 미디어는?|홍정모는 유튜버입니다.
홍정모가 좋아하는 음식은?|홍정모는 갈비찜을 아주 좋아합니다.
홍정모가 가장 최근에 본 드라마는 무엇인가요?|홍정모는 최근에 데이데블 본어게인을 봤습니다.
홍정모가 싫어하는 게임은 뭔가요?|홍정모는 사행성 게임을 싫어합니다.
